Tanggal,Bulan,Tahun,Komoditas,Harga
4,Maret,2024,1,11600
28,Februari,2024,1,11600
26,Februari,2024,1,11000
22,Februari,2024,1,11000
19,Februari,2024,1,11000
29,Januari,2024,1,11000
23,Januari,2024,1,11000
17,Januari,2024,1,11000
11,Januari,2024,1,11000
8,Januari,2024,1,11000
18,Desember,2023,1,11000
15,Desember,2023,1,11000
12,Desember,2023,1,11000
7,Desember,2023,1,11000
30,November,2023,1,11000
27,November,2023,1,11000
20,November,2023,1,11000
15,November,2023,1,11000
13,November,2023,1,11000
6,November,2023,1,11000
31,Oktober,2023,1,11000
24,Oktober,2023,1,11000
16,Oktober,2023,1,11000
9,Oktober,2023,1,11000
2,Oktober,2023,1,11000
26,September,2023,1,11000
20,September,2023,1,11000
14,September,2023,1,11000
11,September,2023,1,11000
5,September,2023,1,11000
30,Agustus,2023,1,11000
21,Agustus,2023,1,11000
15,Agustus,2023,1,11000
1,Agustus,2023,1,11000
27,Juli,2023,1,11000
25,Juli,2023,1,11000
20,Juli,2023,1,11000
17,Juli,2023,1,11000
10,Juli,2023,1,11000
4,Juli,2023,1,11000
26,Juni,2023,1,11000
19,Juni,2023,1,11000
12,Juni,2023,1,11000
5,Juni,2023,1,11000
29,Mei,2023,1,11000
23,Mei,2023,1,11000
15,Mei,2023,1,11000
9,Mei,2023,1,11000
26,April,2023,1,11000
17,April,2023,1,11000
10,April,2023,1,11000
6,April,2023,1,11000
3,April,2023,1,11000
31,Maret,2023,1,11000
27,Maret,2023,1,11000
24,Maret,2023,1,11000
20,Maret,2023,1,11000
16,Maret,2023,1,11000
12,Maret,2023,1,11000
10,Maret,2023,1,11000
8,Maret,2023,1,11000
6,Maret,2023,1,11000
28,Februari,2023,1,11000
21,Februari,2023,1,11000
15,Februari,2023,1,11000
13,Februari,2023,1,11000
9,Februari,2023,1,11000
6,Februari,2023,1,11000
3,Februari,2023,1,11000
1,Februari,2023,1,11000
30,Januari,2023,1,11000
25,Januari,2023,1,11000
19,Januari,2023,1,11000
17,Januari,2023,1,11000
15,Januari,2023,1,11000
12,Januari,2023,1,11000
20,Desember,2022,1,9950
12,Desember,2022,1,9950
6,Desember,2022,1,9950
4,Desember,2022,1,9950
30,November,2022,1,9950
29,November,2022,1,9950
22,November,2022,1,9950
14,November,2022,1,9950
11,November,2022,1,9950
10,November,2022,1,9950
